"Source:","C:\Users\Homer\Documents\KiCad Projects\Temp Controller V1.0.0\Processor.kicad_sch"
"Date:","7/5/2022 9:57:48 AM"
"Tool:","Eeschema (6.0.6)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","41"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Arrow Part Number","Description","Height","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock"
"","","BT1","Battery","Device:Battery","","~","","","","","","",""
"","","C1",".1uF","Device:C_Small","","~","","","","","","",""
"","","C2",".1uF","Device:C_Small","","~","","","","","","",""
"","","C3",".1uF","Device:C_Small","","~","","","","","","",""
"","","C4",".1uF","Device:C_Small","","~","","","","","","",""
"","","C5",".1uF","Device:C_Small","","~","","","","","","",""
"","","C6",".1uF","Device:C_Small","","~","","","","","","",""
"","","D1","LED","Device:LED","","~","","","","","","",""
"","","D2","LED","Device:LED","","~","","","","","","",""
"","","D3","LED","Device:LED","","~","","","","","","",""
"","","D4","B150-E3","Diode:B150-E3","Diode_SMD:D_SMA","http://www.vishay.com/docs/88946/b120.pdf","","","","","","",""
"","","D5","B150-E3","Diode:B150-E3","Diode_SMD:D_SMA","http://www.vishay.com/docs/88946/b120.pdf","","","","","","",""
"","","DS1","NHD-C0216CiZ-FSW-FBW-3V3","Processor-rescue:NHD-C0216CiZ-FSW-FBW-3V3-SamacSys_Parts","NHD-C0216CIZ-FSW-FBW-3V3","https://componentsearchengine.com/Datasheets/1/NHD-C0216CiZ-FSW-FBW-3V3.pdf","","LCD Character Display Modules & Accessories FSTN (+) Transfl 56.0 x 25.3 x 5.5","","Newhaven Display","NHD-C0216CiZ-FSW-FBW-3V3","763-C0216CIZFSWFBW3V","https://www.mouser.co.uk/ProductDetail/Newhaven-Display/NHD-C0216CiZ-FSW-FBW-3V3?qs=Vb5qD4CGh4kMzks2c1g3mA%3D%3D"
"","","IC1","MCP9808T-E_MS","Processor-rescue:MCP9808T-E_MS-SamacSys_Parts","SOP65P490X110-8N","https://ww1.microchip.com/downloads/en/DeviceDoc/25095A.pdf","","Microchip MCP9808T-E/MS, Temperature Converter -40  +125 C +/-1C Serial-I2C, SMBus, 8-Pin MSOP","1.1","Microchip","MCP9808T-E/MS","579-MCP9808T-E/MS","https://www.mouser.co.uk/ProductDetail/Microchip-Technology/MCP9808T-E-MS?qs=fgHA1UgJI8BYolGts7svKQ%3D%3D"
"","","IC2","MCP9808T-E_MS","Processor-rescue:MCP9808T-E_MS-SamacSys_Parts","SOP65P490X110-8N","https://ww1.microchip.com/downloads/en/DeviceDoc/25095A.pdf","","Microchip MCP9808T-E/MS, Temperature Converter -40  +125 C +/-1C Serial-I2C, SMBus, 8-Pin MSOP","1.1","Microchip","MCP9808T-E/MS","579-MCP9808T-E/MS","https://www.mouser.co.uk/ProductDetail/Microchip-Technology/MCP9808T-E-MS?qs=fgHA1UgJI8BYolGts7svKQ%3D%3D"
"","","IC3","PIC18F27Q43-I_SP","Processor-rescue:PIC18F27Q43-I_SP-SamacSys_Parts","DIP794W56P254L3486H508Q28N","https://componentsearchengine.com/Datasheets/2/PIC18F27Q43-I_SP.pdf","","8-bit Microcontrollers - MCU 128KB Flash, 8KB RAM, 1KB EEPROM, 12b ADC2, 5b DAC, Comp, PWM, CCP, CWG, HLT, WWDT, SCAN/CRC, ZCD, PPS, EUSART, SPI/I2C, IDLE/DOZE/PMD","5.08","Microchip","PIC18F27Q43-I/SP","579-PIC18F27Q43-I/SP","https://www.mouser.co.uk/ProductDetail/Microchip-Technology/PIC18F27Q43-I-SP?qs=T3oQrply3y9%2F3lp5qsrz4w%3D%3D"
"","","IC4","MCP1812BT-033_LB","Processor-rescue:MCP1812BT-033_LB-SamacSys_Parts","SOT65P210X110-3N","https://componentsearchengine.com//MCP1812BT-033_LB.pdf","","LDO Voltage Regulators Ultra Low Iq LDO","1.1","Microchip","MCP1812BT-033/LB","579-MCP1812BT-033/LB","https://www.mouser.co.uk/ProductDetail/Microchip-Technology/MCP1812BT-033-LB?qs=byeeYqUIh0OAvmgcjtWJGQ%3D%3D"
"","","IC5","NCP551SN50T1G","Processor-rescue:NCP551SN50T1G-SamacSys_Parts","SOT95P275X110-5N","http://www.onsemi.com/pub/Collateral/NCP551-D.PDF","","ON Semiconductor NCP551SN50T1G, LDO Voltage Regulator, 150mA, 5 V 2%, 0  12 Vin, 5-Pin TSOP","1.1","ON Semiconductor","NCP551SN50T1G","863-NCP551SN50T1G","https://www.mouser.co.uk/ProductDetail/ON-Semiconductor/NCP551SN50T1G?qs=%2FugrpAKHX8qYwrg%2F5Smfsg%3D%3D"
"","","J1","SCHA4B0419","Processor-rescue:SCHA4B0419-SamacSys_Parts","SCHA4B0419","","","Memory Card Connectors","","ALPS","SCHA4B0419","688-SCHA4B0419","https://www.mouser.co.uk/ProductDetail/ALPS/SCHA4B0419?qs=9Bj94LTQhPBSHliECEbqJw%3D%3D"
"","","PS1","47124","Processor-rescue:47124-SamacSys_Parts","47124","http://www.farnell.com/datasheets/606238.pdf","47124","AC/DC PCB Mount Power Supply, Switch Mode, Adjustable, Fixed, 85 V, 265 V, 2.5 W, 12 V, 210 mA RoHS Compliant: Yes","22.3","MYRRA","47124","",""
"","","R1","3.3K","Device:R","","~","","","","","","",""
"","","R2","3.3K","Device:R","","~","","","","","","",""
"","","R3","3.3K","Device:R","","~","","","","","","",""
"","","R4","3.3K","Device:R","","~","","","","","","",""
"","","R5","3.3K","Device:R","","~","","","","","","",""
"","","R6","10K","Device:R","","~","","","","","","",""
"","","R7","10K","Device:R","","~","","","","","","",""
"","","R8","10K","Device:R","","~","","","","","","",""
"","","R9","10K","Device:R","","~","","","","","","",""
"","","R10","15K","Device:R","","~","","","","","","",""
"","","R11","10K","Device:R","","~","","","","","","",""
"","","R12","14K","Device:R","","~","","","","","","",""
"","","R13","30.1K","Device:R","","~","","","","","","",""
"","","SW1","SW_Push","Switch:SW_Push","","~","","","","","","",""
"","","SW2","SW_Push","Switch:SW_Push","","~","","","","","","",""
"","","SW3","SW_Push","Switch:SW_Push","","~","","","","","","",""
"","","TP1","TestPoint","Connector:TestPoint","","~","","","","","","",""
"","","TP2","TestPoint","Connector:TestPoint","","~","","","","","","",""
"","","TP3","TestPoint","Connector:TestPoint","","~","","","","","","",""
"","","TP4","TestPoint","Connector:TestPoint","","~","","","","","","",""
"","","TP5","TestPoint","Connector:TestPoint","","~","","","","","","",""



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Arrow Part Number","Description","Height","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock"
"1","1","BT1","Battery","Device:Battery","","~","","","","","","",""
"2","6","C1, C2, C3, C4, C5, C6",".1uF","Device:C_Small","","~","","","","","","",""
"3","3","D1, D2, D3","LED","Device:LED","","~","","","","","","",""
"4","2","D4, D5","B150-E3","Diode:B150-E3","Diode_SMD:D_SMA","http://www.vishay.com/docs/88946/b120.pdf","","","","","","",""
