pos_x,pos_y,rotation,side,designator,mpn,pack,value,mount_type,place
101.092,-96.52,0.0,top,D1,,D_DO-15_P10.16mm_Horizontal,D,tht,True
163.576,-103.632,180.0,top,J1,,PinHeader_1x01_P2.54mm_Vertical,Conn_01x01,tht,True
163.576,-86.36,180.0,top,J2,,PinHeader_1x01_P2.54mm_Vertical,Conn_01x01,tht,True
163.576,-70.104,180.0,top,J3,,PinHeader_1x01_P2.54mm_Vertical,Conn_01x01,tht,True
113.792,-52.832,180.0,top,J4,,PinHeader_1x01_P2.54mm_Vertical,Conn_01x01,tht,True
98.552,-52.832,180.0,top,J5,,PinHeader_1x01_P2.54mm_Vertical,Conn_01x01,tht,True
76.216,-103.632,90.0,top,R1,,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,2.74K,tht,True
74.168,-71.612,90.0,top,R2,,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,1.3K,tht,True
99.06,-71.612,90.0,top,R3,,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,270,tht,True
124.46,-72.12,90.0,top,R4,,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,330,tht,True
154.416,-73.152,90.0,top,R5,,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,330,tht,True
144.256,-83.312,-90.0,top,R6,,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,2.7K,tht,True
133.588,-72.644,0.0,top,R7,,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,150,tht,True
143.256,-103.632,180.0,top,SW1,,PinHeader_1x03_P2.54mm_Vertical,SW_SPDT,tht,True
119.616,-103.632,180.0,top,SW2,,PinHeader_1x03_P2.54mm_Vertical,SW_SPDT,tht,True
92.456,-103.632,180.0,top,SW3,,PinHeader_1x03_P2.54mm_Vertical,SW_SPDT,tht,True
67.056,-103.632,180.0,top,SW4,,PinHeader_1x03_P2.54mm_Vertical,SW_SPDT,tht,True
143.256,-72.537,180.0,top,SW5,,PinHeader_1x03_P2.54mm_Vertical,SW_SPDT,tht,True
117.856,-73.152,180.0,top,SW6,,PinHeader_1x03_P2.54mm_Vertical,SW_SPDT,tht,True
92.456,-72.537,180.0,top,SW7,,PinHeader_1x03_P2.54mm_Vertical,SW_SPDT,tht,True
67.056,-72.537,180.0,top,SW8,,PinHeader_1x03_P2.54mm_Vertical,SW_SPDT,tht,True
